	EMTScoreStd
BR.MCF7	85.1923869421505
BR.MDA.MB.231	-11.0727624204501
BR.HS.578T	-37.677565571289
BR.BT.549	-33.0680323105976
BR.T.47D	93.9656381164188
CNS.SF.268	-37.1454841235268
CNS.SF.295	-41.9212308177629
CNS.SF.539	-42.7569138900958
CNS.SNB.19	-35.4567746108628
CNS.SNB.75	-41.7144487633844
CNS.U251	-33.9170623024721
CO.COLO.205	85.7227441938009
CO.HCC.2998	94.2827230205782
CO.HCT.116	75.8759216828345
CO.HCT.15	90.2557197973746
CO.HT29	93.9629965687592
CO.KM12	79.7390493724663
CO.SW.620	8.55070800793315
LE.CCRF.CEM	-29.2606142874339
LE.HL.60.TB.	-29.5482861744429
LE.K.562	-30.1155853851785
LE.MOLT.4	-29.3055584449924
LE.RPMI.8226	-8.84079273264976
LE.SR	-32.145098947384
ME.LOX.IMVI	-45.1744754011649
ME.MALME.3M	-14.5157706910912
ME.M14	-26.6868074973269
ME.SK.MEL.2	-33.3319864973216
ME.SK.MEL.28	-21.7248360038355
ME.SK.MEL.5	-26.4199447979543
ME.UACC.257	-11.1224498687439
ME.UACC.62	-28.0941096524207
ME.MDA.MB.435	-32.3896777183629
LC.A549.ATCC	-12.4174307979729
LC.EKVX	14.0361244279286
LC.HOP.62	-18.6210085628066
LC.HOP.92	-30.4145469721701
LC.NCI.H226	-15.9794829472905
LC.NCI.H23	-23.1231170321427
LC.NCI.H322M	106.86208379284
LC.NCI.H460	-21.4829795572453
LC.NCI.H522	-21.2447505385991
OV.IGROV1	-2.06384642165582
OV.OVCAR.3	73.0148675736666
OV.OVCAR.4	72.9003410369987
OV.OVCAR.5	-7.73637169358389
OV.OVCAR.8	-14.6581174763729
OV.SK.OV.3	-4.46781694687559
OV.NCI.ADR.RES	-16.138728829153
PR.PC.3	5.05164177958355
PR.DU.145	39.4058787879626
RE.786.0	-27.5579757856049
RE.A498	-11.9734988865205
RE.ACHN	-10.6647732841325
RE.CAKI.1	-14.8774699518496
RE.RXF.393	-20.3563574148277
RE.SN12C	-23.0118850923049
RE.TK.10	-5.18792113693858
RE.UO.31	-3.43447686250454
