	EMTScoreStd
hAMSCs_MP29_monoculture_Array1_replicate1	-30.0596395399375
PHBECs_MP9_monoculture_Array2_replicate1	24.8616723524598
hAMSCs_MP29_coculture_Array3_replicate1	-33.2136517399955
PHBECs_MP9_coculture_Array4_replicate1	28.1668339001698
hAMSCs_MP22_monoculture_Array5_replicate2	-39.1814880220094
PHBECs_MP13_monoculture_Array6_replicate2	33.6392160574106
hAMSCs_MP22_coculture_Array7_replicate2	-40.517593328927
PHBECs_MP13_coculture_Array8_replicate2	37.7716164246222
hAMSCs_MP28_monoculture_Array9_replicate3	-24.2381114570542
PHBECs_MP15_monoculture_Array10_replicate3	34.9091328362085
hAMSCs_MP28_coculture_Array11_replicate3	-33.7483159532992
PHBECs_MP15_coculture_Array12_replicate3	41.610328470352
